protein	gene	chrom	rates
NP_219479.2	RWDD2A	6	data/rates/RWDD2A_NP_219479.2.csv
NP_077733.3	PGS1	17	data/rates/PGS1_NP_077733.3.csv
NP_714542.1	PRXL2C	9	data/rates/AAED1_NP_714542.1.csv
NP_114158.2	SPATA9	5	data/rates/SPATA9_NP_114158.2.csv
NP_001034859.2	TMPPE	3	data/rates/TMPPE_NP_001034859.2.csv
NP_783860.1	SYT9	11	data/rates/SYT9_NP_783860.1.csv
NP_001167.2	ARHGDIG	16	data/rates/ARHGDIG_NP_001167.2.csv
NP_694947.1	LSMEM2	3	data/rates/LSMEM2_NP_694947.1.csv
NP_073738.2	SPATA20	17	data/rates/SPATA20_NP_073738.2.csv
NP_874362.3	ANKDD1A	15	data/rates/ANKDD1A_NP_874362.3.csv
NP_001116108.1	GALNT9	12	data/rates/GALNT9_NP_001116108.1.csv
NP_002035.1	GALK2	15	data/rates/GALK2_NP_002035.1.csv
NP_660297.1	TMEM170A	16	data/rates/TMEM170A_NP_660297.1.csv
NP_001139008.1	C17orf107	17	data/rates/C17orf107_NP_001139008.1.csv
NP_543150.1	ASB5	4	data/rates/ASB5_NP_543150.1.csv
NP_071426.1	LRRC4	7	data/rates/LRRC4_NP_071426.1.csv
NP_060129.2	QPCTL	19	data/rates/QPCTL_NP_060129.2.csv
NP_055320.4	KCNMB4	12	data/rates/KCNMB4_NP_055320.4.csv
NP_002921.1	RIT2	18	data/rates/RIT2_NP_002921.1.csv
NP_001035533.1	PHF11	13	data/rates/PHF11_NP_001035533.1.csv
NP_076983.1	NOC4L	12	data/rates/NOC4L_NP_076983.1.csv
NP_001305163.1	SNPH	20	data/rates/SNPH_NP_001305163.1.csv
NP_660355.2	ZNF485	10	data/rates/ZNF485_NP_660355.2.csv
NP_037493.3	ZNF223	19	data/rates/ZNF223_NP_037493.3.csv
NP_060205.3	TTC27	2	data/rates/TTC27_NP_060205.3.csv
NP_060567.1	HAUS2	15	data/rates/HAUS2_NP_060567.1.csv
NP_004909.1	TCL1B	14	data/rates/TCL1B_NP_004909.1.csv
NP_001070710.1	DEPDC7	11	data/rates/DEPDC7_NP_001070710.1.csv
NP_001026798.1	SMAGP	12	data/rates/SMAGP_NP_001026798.1.csv
NP_004239.2	PRLHR	10	data/rates/PRLHR_NP_004239.2.csv
NP_005389.1	PPP1R3C	10	data/rates/PPP1R3C_NP_005389.1.csv
NP_001248.1	CDH13	16	data/rates/CDH13_NP_001248.1.csv
NP_570967.1	DYNLRB2	16	data/rates/DYNLRB2_NP_570967.1.csv
NP_150286.1	IDI2	10	data/rates/IDI2_NP_150286.1.csv
NP_071766.2	TOR3A	1	data/rates/TOR3A_NP_071766.2.csv
NP_001007534.1	PPP1R27	17	data/rates/PPP1R27_NP_001007534.1.csv
NP_001164163.1	CAGE1	6	data/rates/CAGE1_NP_001164163.1.csv
NP_598005.1	SPACA4	19	data/rates/SPACA4_NP_598005.1.csv
NP_000493.1	EPX	17	data/rates/EPX_NP_000493.1.csv
NP_940939.2	YJEFN3	19	data/rates/YJEFN3_NP_940939.2.csv
NP_001317106.1	PCNX4	14	data/rates/PCNX4_NP_001317106.1.csv
NP_115877.2	CNFN	19	data/rates/CNFN_NP_115877.2.csv
NP_835469.1	LHFPL1	X	data/rates/LHFPL1_NP_835469.1.csv
NP_788954.2	FAM151A	1	data/rates/FAM151A_NP_788954.2.csv
NP_068836.2	GBGT1	9	data/rates/RALGDS_NP_068836.2.csv
NP_588608.1	PAQR8	6	data/rates/PAQR8_NP_588608.1.csv
NP_036307.2	FBXO3	11	data/rates/FBXO3_NP_036307.2.csv
NP_005098.2	EXOG	3	data/rates/EXOG_NP_005098.2.csv
NP_861974.1	TMED7	5	data/rates/TMED7_NP_861974.1.csv
NP_075051.4	CASD1	7	data/rates/CASD1_NP_075051.4.csv
NP_076933.3	PCYOX1L	5	data/rates/PCYOX1L_NP_076933.3.csv
NP_060874.1	ADAP2	17	data/rates/ADAP2_NP_060874.1.csv
NP_060864.1	ABHD10	3	data/rates/ABHD10_NP_060864.1.csv
NP_828847.1	CYP4X1	1	data/rates/CYP4X1_NP_828847.1.csv
NP_005286.2	GPR22	7	data/rates/GPR22_NP_005286.2.csv
NP_001008739.1	C6orf226	6	data/rates/C6orf226_NP_001008739.1.csv
NP_055043.2	SLC6A7	5	data/rates/SLC6A7_NP_055043.2.csv
NP_114163.1	KRTAP1-5	17	data/rates/KRTAP1-5_NP_114163.1.csv
NP_067023.1	PLEKHB1	11	data/rates/PLEKHB1_NP_067023.1.csv
NP_001307466.1	SLC37A1	21	data/rates/SLC37A1_NP_001307466.1.csv
NP_055415.1	EHD3	2	data/rates/EHD3_NP_055415.1.csv
NP_899063.2	TMEM37	2	data/rates/TMEM37_NP_899063.2.csv
NP_064586.1	NT5M	17	data/rates/NT5M_NP_064586.1.csv
NP_001159743.1	SPATA13	13	data/rates/SPATA13_NP_001159743.1.csv
NP_001078851.1	PSAPL1	4	data/rates/PSAPL1_NP_001078851.1.csv
NP_114104.1	TEKT3	17	data/rates/TEKT3_NP_114104.1.csv
NP_689979.1	TMEM256	17	data/rates/TMEM256_NP_689979.1.csv
NP_116290.1	COX14	12	data/rates/COX14_NP_116290.1.csv
NP_054777.2	TMPRSS11E	4	data/rates/TMPRSS11E_NP_054777.2.csv
NP_001123475.1	SYNPR	3	data/rates/SYNPR_NP_001123475.1.csv
NP_001132.2	ALOX15B	17	data/rates/ALOX15B_NP_001132.2.csv
NP_848602.1	OAF	11	data/rates/OAF_NP_848602.1.csv
NP_068746.2	GUF1	4	data/rates/GUF1_NP_068746.2.csv
NP_001860.2	CPA2	7	data/rates/CPA2_NP_001860.2.csv
NP_659496.2	FCSK	16	data/rates/FUK_NP_659496.2.csv
NP_942146.2	SIAH3	13	data/rates/SIAH3_NP_942146.2.csv
NP_071370.2	GALNT11	7	data/rates/GALNT11_NP_071370.2.csv
NP_003805.4	ADAM20	14	data/rates/ADAM20_NP_003805.4.csv
NP_006867.1	B4GAT1	11	data/rates/B4GAT1_NP_006867.1.csv
NP_542790.2	ZSWIM3	20	data/rates/ZSWIM3_NP_542790.2.csv
NP_077026.2	TMEM185B	2	data/rates/TMEM185B_NP_077026.2.csv
NP_033720.2	AOC2	17	data/rates/AOC2_NP_033720.2.csv
NP_775745.1	NTAN1	16	data/rates/NTAN1_NP_775745.1.csv
NP_065178.1	ACTR3B	7	data/rates/ACTR3B_NP_065178.1.csv
NP_055751.1	ENPP4	6	data/rates/ENPP4_NP_055751.1.csv
NP_056379.1	LRRTM2	5	data/rates/LRRTM2_NP_056379.1.csv
NP_689579.3	KLHDC9	1	data/rates/KLHDC9_NP_689579.3.csv
NP_620172.2	SLC7A13	8	data/rates/SLC7A13_NP_620172.2.csv
NP_542170.3	ZSWIM1	20	data/rates/ZSWIM1_NP_542170.3.csv
NP_848622.2	SLC9C2	1	data/rates/SLC9C2_NP_848622.2.csv
NP_001073982.3	CPN2	3	data/rates/CPN2_NP_001073982.3.csv
NP_991111.2	FAM151B	5	data/rates/FAM151B_NP_991111.2.csv
NP_001138500.2	PALM3	19	data/rates/PALM3_NP_001138500.2.csv
NP_079439.2	PIGZ	3	data/rates/PIGZ_NP_079439.2.csv
NP_116228.1	SLC49A4	3	data/rates/DIRC2_NP_116228.1.csv
NP_001012772.1	NHLRC3	13	data/rates/NHLRC3_NP_001012772.1.csv
NP_689988.1	CCDC110	4	data/rates/CCDC110_NP_689988.1.csv
NP_001025052.1	CIB4	2	data/rates/CIB4_NP_001025052.1.csv
NP_079537.1	LY6G6C	6	data/rates/LY6G6C_NP_079537.1.csv
NP_001013641.2	HYKK	15	data/rates/HYKK_NP_001013641.2.csv
NP_443085.2	ADCK2	7	data/rates/ADCK2_NP_443085.2.csv
NP_001157683.2	LRCH1	13	data/rates/LRCH1_NP_001157683.2.csv
NP_071381.1	XPNPEP3	22	data/rates/XPNPEP3_NP_071381.1.csv
NP_689604.1	SLC66A3	2	data/rates/PQLC3_NP_689604.1.csv
NP_112188.1	ITM2C	2	data/rates/ITM2C_NP_112188.1.csv
NP_077284.2	DHRS11	17	data/rates/DHRS11_NP_077284.2.csv
NP_001071125.1	SMCO1	3	data/rates/SMCO1_NP_001071125.1.csv
NP_776246.1	SPACA3	17	data/rates/SPACA3_NP_776246.1.csv
NP_002402.1	SCGB2A2	11	data/rates/SCGB2A2_NP_002402.1.csv
NP_579875.1	KCNG3	2	data/rates/KCNG3_NP_579875.1.csv
NP_037517.1	CYTH4	22	data/rates/CYTH4_NP_037517.1.csv
NP_001154848.1	C6orf136	6	data/rates/C6orf136_NP_001154848.1.csv
NP_653208.2	CYB5D1	17	data/rates/CYB5D1_NP_653208.2.csv
NP_291031.2	GUCA2A	1	data/rates/GUCA2A_NP_291031.2.csv
NP_075558.2	ZFP69B	1	data/rates/ZFP69B_NP_075558.2.csv
NP_689648.2	AMDHD1	12	data/rates/AMDHD1_NP_689648.2.csv
NP_950252.1	BRINP3	1	data/rates/BRINP3_NP_950252.1.csv
NP_653277.2	TMED6	16	data/rates/TMED6_NP_653277.2.csv
NP_001098989.1	FAM166C	2	data/rates/C2orf70_NP_001098989.1.csv
NP_055433.2	BRINP1	9	data/rates/BRINP1_NP_055433.2.csv
NP_001240758.1	PTPDC1	9	data/rates/PTPDC1_NP_001240758.1.csv
NP_061060.3	CSGALNACT2	10	data/rates/CSGALNACT2_NP_061060.3.csv
NP_940984.3	KLHL30	2	data/rates/KLHL30_NP_940984.3.csv
NP_689953.1	HIBADH	7	data/rates/HIBADH_NP_689953.1.csv
NP_057218.1	CPQ	8	data/rates/CPQ_NP_057218.1.csv
NP_001807.2	CEACAM8	19	data/rates/CEACAM8_NP_001807.2.csv
NP_001026908.1	TMEM150A	2	data/rates/TMEM150A_NP_001026908.1.csv
NP_116219.2	UTP4	16	data/rates/UTP4_NP_116219.2.csv
NP_006408.3	IFI44	1	data/rates/IFI44_NP_006408.3.csv
NP_001011709.2	PNLIPRP3	10	data/rates/PNLIPRP3_NP_001011709.2.csv
NP_056970.1	PI15	8	data/rates/PI15_NP_056970.1.csv
NP_001034841.3	SLC22A10	11	data/rates/SLC22A10_NP_001034841.3.csv
NP_001010971.1	SAMD13	1	data/rates/SAMD13_NP_001010971.1.csv
NP_001354431.1	CYP27C1	2	data/rates/CYP27C1_NP_001354431.1.csv
NP_660150.1	PIGM	1	data/rates/PIGM_NP_660150.1.csv
NP_001357330.1	RAB11FIP3	16	data/rates/RAB11FIP3_NP_001357330.1.csv
NP_054756.2	SLC6A16	19	data/rates/SLC6A16_NP_054756.2.csv
NP_001071107.1	NXPE4	11	data/rates/NXPE4_NP_001071107.1.csv
NP_001123614.1	VWA5A	11	data/rates/VWA5A_NP_001123614.1.csv
NP_079178.2	DNAJC22	12	data/rates/DNAJC22_NP_079178.2.csv
NP_000740.1	CHRNB3	8	data/rates/CHRNB3_NP_000740.1.csv
NP_001027549.1	SULT6B1	2	data/rates/SULT6B1_NP_001027549.1.csv
NP_001310561.1	HAUS2	15	data/rates/HAUS2_NP_001310561.1.csv
NP_001317694.1	DEDD	1	data/rates/NIT1_NP_001317694.1.csv
NP_783866.3	SERPINA9	14	data/rates/SERPINA9_NP_783866.3.csv
NP_149445.3	KRTAP4-5	17	data/rates/KRTAP4-5_NP_149445.3.csv
NP_783165.1	WFIKKN2	17	data/rates/WFIKKN2_NP_783165.1.csv
NP_001291315.1	LYZL4	3	data/rates/LYZL4_NP_001291315.1.csv
NP_006084.2	PRG3	11	data/rates/PRG3_NP_006084.2.csv
NP_001120913.1	CPA5	7	data/rates/CPA5_NP_001120913.1.csv
NP_001191032.1	PPT2	6	data/rates/PPT2_NP_001191032.1.csv
NP_149443.1	KRTAP4-3	17	data/rates/KRTAP4-3_NP_149443.1.csv
NP_071417.2	GAL3ST2	2	data/rates/GAL3ST2_NP_071417.2.csv
NP_002057.1	GML	8	data/rates/GML_NP_002057.1.csv
NP_060426.2	TRMT12	8	data/rates/TRMT12_NP_060426.2.csv
NP_001317471.1	HEXD	17	data/rates/HEXDC_NP_001317471.1.csv
NP_612476.1	TYW3	1	data/rates/TYW3_NP_612476.1.csv
NP_002186.1	INSL4	9	data/rates/INSL4_NP_002186.1.csv
NP_941969.2	KRTAP10-3	21	data/rates/KRTAP10-3_NP_941969.2.csv
NP_001357404.1	SERPINB11	18	data/rates/SERPINB11_NP_001357404.1.csv
NP_005743.5	CLEC3A	16	data/rates/CLEC3A_NP_005743.5.csv
NP_001128135.1	SAMD13	1	data/rates/SAMD13_NP_001128135.1.csv
NP_001310829.1	GSG1L	16	data/rates/GSG1L_NP_001310829.1.csv
NP_115706.1	CAPNS2	16	data/rates/CAPNS2_NP_115706.1.csv
NP_065748.1	KCNS2	8	data/rates/KCNS2_NP_065748.1.csv
NP_115948.4	KIF2B	17	data/rates/KIF2B_NP_115948.4.csv
NP_001243615.1	CSNK2A3	11	data/rates/CSNK2A3_NP_001243615.1.csv
NP_543146.2	MUCL3	6	data/rates/MUCL3_NP_543146.2.csv
NP_997269.2	SHISA6	17	data/rates/SHISA6_NP_997269.2.csv
NP_775100.1	CPO	2	data/rates/CPO_NP_775100.1.csv
NP_660329.1	STOML3	13	data/rates/STOML3_NP_660329.1.csv
NP_201585.1	CAPZA3	12	data/rates/CAPZA3_NP_201585.1.csv
NP_065102.1	FSCN3	7	data/rates/FSCN3_NP_065102.1.csv
NP_001034254.2	MRGPRE	11	data/rates/MRGPRE_NP_001034254.2.csv
NP_001032586.1	DEFB110	6	data/rates/DEFB110_NP_001032586.1.csv
NP_001073965.2	RGP1	9	data/rates/RGP1_NP_001073965.2.csv
NP_002631.3	SERPINB8	18	data/rates/SERPINB8_NP_002631.3.csv
NP_703143.1	GPR26	10	data/rates/GPR26_NP_703143.1.csv
NP_085080.1	MATN4	20	data/rates/MATN4_NP_085080.1.csv
NP_660209.2	MBD3L1	19	data/rates/MBD3L1_NP_660209.2.csv
NP_001188409.1	OSBPL6	2	data/rates/OSBPL6_NP_001188409.1.csv
NP_001186601.1	CALU	7	data/rates/CALU_NP_001186601.1.csv
NP_778222.1	ST8SIA4	5	data/rates/ST8SIA4_NP_778222.1.csv
NP_892005.1	PRELID2	5	data/rates/PRELID2_NP_892005.1.csv
NP_001349898.1	ZC2HC1A	8	data/rates/ZC2HC1A_NP_001349898.1.csv
NP_055772.3	DENND3	8	data/rates/DENND3_NP_055772.3.csv
NP_001032221.1	CNTROB	17	data/rates/CNTROB_NP_001032221.1.csv
NP_076412.3	PHACTR4	1	data/rates/PHACTR4_NP_076412.3.csv
NP_001007279.1	TRIM13	13	data/rates/TRIM13_NP_001007279.1.csv
NP_079505.1	SEL1L2	20	data/rates/SEL1L2_NP_079505.1.csv
NP_001161795.1	CD300LG	17	data/rates/CD300LG_NP_001161795.1.csv
NP_443188.2	ACSM1	16	data/rates/ACSM1_NP_443188.2.csv
NP_001351756.1	PPHLN1	12	data/rates/PPHLN1_NP_001351756.1.csv
NP_803545.1	PLPP2	19	data/rates/PLPP2_NP_803545.1.csv
NP_777577.2	ACSF3	16	data/rates/ACSF3_NP_777577.2.csv
NP_001335922.1	NXPE3	3	data/rates/NXPE3_NP_001335922.1.csv
NP_778226.1	ZPLD1	3	data/rates/ZPLD1_NP_778226.1.csv
NP_001291881.1	PROCA1	17	data/rates/PROCA1_NP_001291881.1.csv
NP_542779.2	NEU4	2	data/rates/NEU4_NP_542779.2.csv
NP_001130015.1	LYSMD1	1	data/rates/LYSMD1_NP_001130015.1.csv
NP_001139470.1	SLC15A2	3	data/rates/SLC15A2_NP_001139470.1.csv
NP_001278921.1	SPATA19	11	data/rates/SPATA19_NP_001278921.1.csv
NP_001157748.1	ZNF44	19	data/rates/ZNF44_NP_001157748.1.csv
NP_001020109.1	SLC2A11	22	data/rates/SLC2A11_NP_001020109.1.csv
NP_001186600.1	CALU	7	data/rates/CALU_NP_001186600.1.csv
NP_073730.3	PLA2G2F	1	data/rates/PLA2G2F_NP_073730.3.csv
NP_001273120.1	C12orf43	12	data/rates/C12orf43_NP_001273120.1.csv
NP_848590.3	ITPRIPL1	2	data/rates/ITPRIPL1_NP_848590.3.csv
NP_659456.3	FAM124A	13	data/rates/FAM124A_NP_659456.3.csv
NP_808211.1	PLPP2	19	data/rates/PLPP2_NP_808211.1.csv
NP_001035754.1	PPAN-P2RY11	19	data/rates/PPAN_NP_001035754.1.csv
NP_001259001.1	AOC1	7	data/rates/AOC1_NP_001259001.1.csv
NP_001269540.1	OLFM1	9	data/rates/OLFM1_NP_001269540.1.csv
NP_001269444.1	ZFP37	9	data/rates/ZFP37_NP_001269444.1.csv
NP_115935.3	TRIM54	2	data/rates/TRIM54_NP_115935.3.csv
NP_065087.1	ENTPD7	10	data/rates/ENTPD7_NP_065087.1.csv
NP_001137304.1	LEUTX	19	data/rates/LEUTX_NP_001137304.1.csv
NP_955379.2	NEK10	3	data/rates/NEK10_NP_955379.2.csv
NP_060699.3	AP5M1	14	data/rates/AP5M1_NP_060699.3.csv
NP_001004440.1	TAFA3	1	data/rates/FAM19A3_NP_001004440.1.csv
NP_001013682.2	FRRS1	1	data/rates/FRRS1_NP_001013682.2.csv
NP_001004686.1	OR2L2	1	data/rates/OR2L2_NP_001004686.1.csv
NP_001304117.1	BRINP3	1	data/rates/BRINP3_NP_001304117.1.csv
NP_067056.2	DNASE2B	1	data/rates/DNASE2B_NP_067056.2.csv
NP_001096121.1	ZNF554	19	data/rates/ZNF554_NP_001096121.1.csv
NP_036507.2	OR52A1	11	data/rates/OR52A1_NP_036507.2.csv
NP_001191335.1	ALOX5AP	13	data/rates/ALOX5AP_NP_001191335.1.csv
NP_001005171.2	OR52K1	11	data/rates/OR52K1_NP_001005171.2.csv
NP_001001954.1	OR5A2	11	data/rates/OR5A2_NP_001001954.1.csv
NP_001005190.1	OR7A10	19	data/rates/OR7A10_NP_001005190.1.csv
NP_112208.1	OR14J1	6	data/rates/OR14J1_NP_112208.1.csv
NP_001258762.1	DENND2D	1	data/rates/DENND2D_NP_001258762.1.csv
NP_001245329.1	FAM187A	17	data/rates/FAM187A_NP_001245329.1.csv
NP_001275750.1	OLFM3	1	data/rates/OLFM3_NP_001275750.1.csv
NP_473445.1	OR6C3	12	data/rates/OR6C3_NP_473445.1.csv
NP_001161686.1	C3orf80	3	data/rates/C3orf80_NP_001161686.1.csv
NP_689588.2	KLHDC7A	1	data/rates/KLHDC7A_NP_689588.2.csv
NP_001193570.2	COA6	1	data/rates/COA6_NP_001193570.2.csv
NP_001274669.1	STK32A	5	data/rates/STK32A_NP_001274669.1.csv
NP_277041.1	FBXO24	7	data/rates/FBXO24_NP_277041.1.csv
NP_001307906.1	MAN2A2	15	data/rates/MAN2A2_NP_001307906.1.csv
NP_006113.2	MAN2A2	15	data/rates/MAN2A2_NP_006113.2.csv
NP_001129203.1	ZMAT4	8	data/rates/ZMAT4_NP_001129203.1.csv
NP_981945.1	RPRML	17	data/rates/RPRML_NP_981945.1.csv
NP_001291376.1	WSCD2	12	data/rates/WSCD2_NP_001291376.1.csv
NP_001245342.1	SLC5A11	16	data/rates/SLC5A11_NP_001245342.1.csv
NP_997000.2	SLC25A47	14	data/rates/SLC25A47_NP_997000.2.csv
NP_001013003.1	COA6	1	data/rates/COA6_NP_001013003.1.csv
NP_001165580.1	SENP8	15	data/rates/SENP8_NP_001165580.1.csv
NP_001129511.1	NIF3L1	2	data/rates/NIF3L1_NP_001129511.1.csv
NP_795368.2	TAS2R46	12	data/rates/TAS2R46_NP_795368.2.csv
NP_001243350.1	GPAT3	4	data/rates/GPAT3_NP_001243350.1.csv
NP_689586.3	ZNF684	1	data/rates/ZNF684_NP_689586.3.csv
NP_003428.1	ZNF136	19	data/rates/ZNF136_NP_003428.1.csv
NP_872311.2	C9orf85	9	data/rates/C9orf85_NP_872311.2.csv
NP_036590.1	TIMM13	19	data/rates/TIMM13_NP_036590.1.csv
NP_001265485.1	ARPC3	12	data/rates/ARPC3_NP_001265485.1.csv
NP_079522.2	SLC35G2	3	data/rates/SLC35G2_NP_079522.2.csv
NP_001248363.1	AARSD1	17	data/rates/PTGES3L_NP_001248363.1.csv
NP_612356.2	ZNF551	19	data/rates/ZNF551_NP_612356.2.csv
NP_008964.3	RER1	1	data/rates/RER1_NP_008964.3.csv
NP_001009993.2	FAM168B	2	data/rates/FAM168B_NP_001009993.2.csv
NP_065119.3	PLAAT1	3	data/rates/HRASLS_NP_065119.3.csv
NP_060470.2	MREG	2	data/rates/MREG_NP_060470.2.csv
NP_078940.2	PPCS	1	data/rates/PPCS_NP_078940.2.csv
NP_689526.2	SLC36A4	11	data/rates/SLC36A4_NP_689526.2.csv
NP_001139443.1	RDH13	19	data/rates/RDH13_NP_001139443.1.csv
NP_079030.3	PTCD2	5	data/rates/PTCD2_NP_079030.3.csv
NP_005530.3	INPP5A	10	data/rates/INPP5A_NP_005530.3.csv
NP_055488.1	EMC2	8	data/rates/EMC2_NP_055488.1.csv
NP_004614.3	TTC4	1	data/rates/TTC4_NP_004614.3.csv
NP_006520.2	GLRA3	4	data/rates/GLRA3_NP_006520.2.csv
NP_037495.1	PCOLCE2	3	data/rates/PCOLCE2_NP_037495.1.csv
NP_001137160.1	DIS3L	15	data/rates/DIS3L_NP_001137160.1.csv
NP_699170.1	PUSL1	1	data/rates/PUSL1_NP_699170.1.csv
NP_060357.1	CZIB	1	data/rates/C1orf123_NP_060357.1.csv
NP_776185.2	C3orf38	3	data/rates/C3orf38_NP_776185.2.csv
NP_001035526.1	YARS2	12	data/rates/YARS2_NP_001035526.1.csv
NP_003489.1	SNN	16	data/rates/SNN_NP_003489.1.csv
NP_004092.1	F2RL2	5	data/rates/F2RL2_NP_004092.1.csv
NP_006444.2	TBL3	16	data/rates/TBL3_NP_006444.2.csv
NP_055394.2	SLC39A2	14	data/rates/SLC39A2_NP_055394.2.csv
NP_065715.1	DECR2	16	data/rates/DECR2_NP_065715.1.csv
NP_597999.1	ACER1	19	data/rates/ACER1_NP_597999.1.csv
NP_001291922.1	SDSL	12	data/rates/SDSL_NP_001291922.1.csv
NP_009194.2	COPE	19	data/rates/COPE_NP_009194.2.csv
NP_001309215.1	ZNF396	18	data/rates/ZNF396_NP_001309215.1.csv
NP_612434.1	C12orf57	12	data/rates/C12orf57_NP_612434.1.csv
NP_005872.2	BCKDK	16	data/rates/BCKDK_NP_005872.2.csv
NP_849189.1	SFXN2	10	data/rates/SFXN2_NP_849189.1.csv
NP_072090.1	ALDH8A1	6	data/rates/ALDH8A1_NP_072090.1.csv
NP_001093205.1	CKMT2	5	data/rates/CKMT2_NP_001093205.1.csv
NP_061182.3	ELMOD1	11	data/rates/ELMOD1_NP_061182.3.csv
NP_068834.2	ZNF277	7	data/rates/ZNF277_NP_068834.2.csv
NP_055620.1	EPM2AIP1	3	data/rates/EPM2AIP1_NP_055620.1.csv
NP_055557.2	TM9SF4	20	data/rates/TM9SF4_NP_055557.2.csv
NP_542173.2	BHLHE23	20	data/rates/BHLHE23_NP_542173.2.csv
NP_443097.1	MGME1	20	data/rates/MGME1_NP_443097.1.csv
NP_065833.1	KLHL42	12	data/rates/KLHL42_NP_065833.1.csv
NP_079374.2	MOGAT2	11	data/rates/MOGAT2_NP_079374.2.csv
NP_064617.2	PSMG2	18	data/rates/PSMG2_NP_064617.2.csv
NP_001018855.2	ZNF749	19	data/rates/ZNF749_NP_001018855.2.csv
NP_057370.1	DCXR	17	data/rates/DCXR_NP_057370.1.csv
NP_115989.1	CCDC54	3	data/rates/CCDC54_NP_115989.1.csv
NP_001123992.1	ZNF195	11	data/rates/ZNF195_NP_001123992.1.csv
NP_079114.3	THNSL1	10	data/rates/THNSL1_NP_079114.3.csv
NP_001010883.2	FAM102B	1	data/rates/FAM102B_NP_001010883.2.csv
NP_443167.4	NT5C3B	17	data/rates/NT5C3B_NP_443167.4.csv
NP_683707.3	OSBPL9	1	data/rates/OSBPL9_NP_683707.3.csv
NP_001308077.1	TMEM94	17	data/rates/TMEM94_NP_001308077.1.csv
NP_690849.1	CHST13	3	data/rates/CHST13_NP_690849.1.csv
NP_036548.1	RANBP6	9	data/rates/RANBP6_NP_036548.1.csv
NP_004382.2	CYP8B1	3	data/rates/CYP8B1_NP_004382.2.csv
NP_009107.1	ERG28	14	data/rates/ERG28_NP_009107.1.csv
NP_001258522.1	PPME1	11	data/rates/PPME1_NP_001258522.1.csv
NP_077304.1	THTPA	14	data/rates/THTPA_NP_077304.1.csv
NP_001317465.1	CENPX	17	data/rates/CENPX_NP_001317465.1.csv
NP_671517.1	ACOT11	1	data/rates/ACOT11_NP_671517.1.csv
NP_999875.2	PRSS57	19	data/rates/PRSS57_NP_999875.2.csv
NP_874359.2	SP8	7	data/rates/SP8_NP_874359.2.csv
NP_001082.2	AOC1	7	data/rates/AOC1_NP_001082.2.csv
NP_002554.1	P2RY1	3	data/rates/P2RY1_NP_002554.1.csv
NP_001354422.1	ARHGEF4	2	data/rates/ARHGEF4_NP_001354422.1.csv
NP_068750.2	DHX35	20	data/rates/DHX35_NP_068750.2.csv
NP_001229344.1	WDR20	14	data/rates/WDR20_NP_001229344.1.csv
NP_079348.1	PTGES2	9	data/rates/PTGES2_NP_079348.1.csv
NP_055691.1	JOSD1	22	data/rates/JOSD1_NP_055691.1.csv
NP_835237.1	POLDIP3	22	data/rates/POLDIP3_NP_835237.1.csv
NP_569735.1	CHST14	15	data/rates/CHST14_NP_569735.1.csv
NP_597998.1	SAT2	17	data/rates/SAT2_NP_597998.1.csv
NP_001985.2	F13B	1	data/rates/F13B_NP_001985.2.csv
NP_001157632.1	PPP6R3	11	data/rates/PPP6R3_NP_001157632.1.csv
NP_078906.2	ZDHHC14	6	data/rates/ZDHHC14_NP_078906.2.csv
NP_005305.1	GRPR	X	data/rates/GRPR_NP_005305.1.csv
NP_001098016.1	RPP30	10	data/rates/RPP30_NP_001098016.1.csv
NP_001339171.1	SLC5A11	16	data/rates/SLC5A11_NP_001339171.1.csv
NP_056969.2	PCF11	11	data/rates/PCF11_NP_056969.2.csv
NP_001355044.1	ADGRF2	6	data/rates/ADGRF2_NP_001355044.1.csv
NP_001150.3	AOX1	2	data/rates/AOX1_NP_001150.3.csv
NP_060848.2	FBXL8	16	data/rates/FBXL8_NP_060848.2.csv
NP_001017970.1	TMEM30B	14	data/rates/TMEM30B_NP_001017970.1.csv
NP_001255214.1	LRRC8E	19	data/rates/LRRC8E_NP_001255214.1.csv
NP_543135.1	OR1K1	9	data/rates/OR1K1_NP_543135.1.csv
NP_039225.1	OR11A1	6	data/rates/OR11A1_NP_039225.1.csv
NP_996782.1	OR10P1	12	data/rates/OR10P1_NP_996782.1.csv
NP_001001658.1	OR9A2	7	data/rates/OR9A2_NP_001001658.1.csv
NP_061951.1	UGT1A5	2	data/rates/UGT1A_NP_061951.1.csv
NP_001001667.1	OR6V1	7	data/rates/OR6V1_NP_001001667.1.csv
NP_001001965.1	OR4D5	11	data/rates/OR4D5_NP_001001965.1.csv
NP_001004727.1	OR4X2	11	data/rates/OR4X2_NP_001004727.1.csv
NP_001005186.2	OR6Q1	11	data/rates/OR6Q1_NP_001005186.2.csv
NP_001013679.2	GDPGP1	15	data/rates/GDPGP1_NP_001013679.2.csv
NP_003691.1	OR2D2	11	data/rates/OR2D2_NP_003691.1.csv
NP_001005195.1	OR8B12	11	data/rates/OR8B12_NP_001005195.1.csv
NP_001004758.1	OR51S1	11	data/rates/OR51S1_NP_001004758.1.csv
NP_001005245.1	OR5M11	11	data/rates/OR5M11_NP_001005245.1.csv
NP_001002918.1	OR8D2	11	data/rates/OR8D2_NP_001002918.1.csv
NP_001004741.1	OR5M10	11	data/rates/OR5M10_NP_001004741.1.csv
